business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Marg Institute For Self Development.,,"Aptitude, Tuition",5.0,16,https://marginstitute.co.in,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Marg Institute for Self development./data=!4m7!3m6!1s0x3bdcb1009e22bc31:0x9f0e0d6b0326f8da!8m2!3d19.1216518!4d74.7391286!16s/g/11hdnqt_bx!19sChIJMbwingCx3DsR2vgmA2sNDp8
Mhaske Coaching Classes,9922124914,Tuition,5.0,3,http://wa.me,"Sudke Mala, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Mhaske Coaching Classes/data=!4m7!3m6!1s0x3bdcb1e33061865b:0x69921b4307acfcce!8m2!3d19.1041655!4d74.7304624!16s/g/11w__7s4bx!19sChIJW4ZhMOOx3DsRzvysB0Mbkmk
Naadbramha Music Academy,9421553943,"Tuition, Abacus",5.0,1,https://vijaygune10.blogspot.com,"Yashoda Nagar, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Naadbramha Music Academy/data=!4m7!3m6!1s0x3bdcbb72a9011b41:0x214e977613b8591d!8m2!3d19.1274936!4d74.741627!16s/g/11v03_4kwc!19sChIJQRsBqXK73DsRHVm4E3aXTiE
S Cube Coaching Classes,9359596581,"NEET, Tuition",5.0,4,http://scubecoach.in.net,"Muncipal Hudco, Ahmednagarahmednagar",Ahmednagar,,,https://www.google.com/maps/place/S Cube Coaching Classes/data=!4m7!3m6!1s0x3bdcbb067a7d36dd:0xe409a2d96366941d!8m2!3d19.0965936!4d74.7303319!16s/g/11fnc8p4vd!19sChIJ3TZ9ega73DsRHZRmY9miCeQ
Sai Samarth Coaching Classes,9422727544,Tuition,5.0,2,https://ssisc.in,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Sai Samarth Coaching Classes/data=!4m7!3m6!1s0x3bdcbb83f68015ab:0x98a5f4820ad993ae!8m2!3d19.120421!4d74.7314212!16s/g/11ry9rs8w2!19sChIJqxWA9oO73DsRrpPZCoL0pZg
Samarth Academy & Commerce Classes,8055110447,"Commerce Classes, Tuition",5.0,4,http://samarthcommerceclasses.blogspot.com,Bhingar,Ahmednagar,,,https://www.google.com/maps/place/Samarth Academy & Commerce Classes/data=!4m7!3m6!1s0x3bdcb019dd3ef27d:0xd87269a1cd5e67f4!8m2!3d19.0930499!4d74.779209!16s/g/11c5h33jkj!19sChIJffI-3Rmw3DsR9GdezaFpctg
Samyak Computer Classes,9105106105,"Computer Classes, Tuition",5.0,3,https://samyakinfotech.com,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Samyak Computer Classes - Ahmadnagar/data=!4m7!3m6!1s0x3bdcbb18658e19d1:0x7043bf0a79581098!8m2!3d19.1174158!4d74.732705!16s/g/11mt0yzkb9!19sChIJ0RmOZRi73DsRmBBYeQq_Q3A
Sayu Softtech Software Solution & Corporate Training,8459002270,"Computer Classes, Tuition",5.0,356,http://sayusofttech.com,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Sayu Softtech Software Solution & Corporate Training/data=!4m7!3m6!1s0x3bdcbb2113d94731:0x280756c8278fd06a!8m2!3d19.1253428!4d74.7484907!16s/g/11sx0gdrwq!19sChIJMUfZEyG73DsRatCPJ8hWByg
Shree Genius It Hub,9822866893,"Computer Classes, Tuition",5.0,16,http://shreegeniusithub.com,"Sudke Mala, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Shree Genius IT HUB/data=!4m7!3m6!1s0x3bdcb17ad5d08c7d:0x7ec1c8b8a98440ae!8m2!3d19.1015691!4d74.7311007!16s/g/11ns989f98!19sChIJfYzQ1Xqx3DsRrkCEqbjIwX4
Shreem Classes,9890420209,"NEET, Tuition",5.0,21,https://shreemclasses.com,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Shreem Classes/data=!4m7!3m6!1s0x3bdcbb4212becbb7:0x85507b8959ca78f7!8m2!3d19.1226339!4d74.738249!16s/g/11ldqgwx4n!19sChIJt8u-EkK73DsR93jKWYl7UIU
Sweeta Classes & Spoken English Hub,9049014138,"Spoken English, Tuition, English Academy",5.0,1,https://sunsignnaturewildlife.com,"179 180 Mahesh Nagar, Rose Villa Barababli",Ahmednagar,,,https://www.google.com/maps/place/Sweeta Classes & Spoken English Hub/data=!4m7!3m6!1s0x3bdcafca286ce37f:0x98e3b66eff3e5d0c!8m2!3d19.0891533!4d74.7914276!16s/g/11t8g87cj2!19sChIJf-NsKMqv3DsRDF0-_26245g
Todmal Commerce Academy,9960098090,"Commerce Classes, Tuition",5.0,323,http://todmalsacademy.com,"Oppo. Ashirwad Chiwada, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/TODMAL COMMERCE ACADEMY/data=!4m7!3m6!1s0x3bdcb08a1d6c47dd:0xbe2533b1aeb1b19c!8m2!3d19.0956179!4d74.7328733!16s/g/11c5g8v242!19sChIJ3UdsHYqw3DsRnLGxrrEzJb4
Tuljai Inspire Abacus Classes,,"Tuition, Abacus",5.0,3,http://inspireabacus.com,"Kedgaon, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/TULJAI INSPIRE ABACUS CLASSES/data=!4m7!3m6!1s0x3bdcb189ec0cba21:0xcc4741f344c16e42!8m2!3d19.0714104!4d74.7111459!16s/g/11z1kf0rs9!19sChIJIboM7Imx3DsRQm7BRPNBR8w
A2z It Hub Pvt. Ltd.,9011144920,"Computer Classes, Tuition",4.9,344,http://a2zithub.org,"Bagade Mala, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/A2Z IT HUB PVT. LTD./data=!4m7!3m6!1s0x3bdcb17ca9d749e5:0x516744f9b2f35ec9!8m2!3d19.1053687!4d74.7303281!16s/g/11fqkx4vh6!19sChIJ5UnXqXyx3DsRyV7zsvlEZ1E
Aasha Handwriting Classes,7044727044,"Spoken English, Tuition, English Academy",4.9,57,http://elixir.org.in,"Iwale Nagar, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Aasha Handwriting Classes/data=!4m7!3m6!1s0x3bdcb1fa0a248a0b:0xf2fd03811dd68c2e!8m2!3d19.0800146!4d74.7436832!16s/g/11h_wy_6cn!19sChIJC4okCvqx3DsRLozWHYED_fI
Asus Exclusive Store,8037016502,"Computer Classes, Tuition",4.9,2142,https://shopnearme.asus.com,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/ASUS Exclusive Store - Inspire Computers/data=!4m7!3m6!1s0x3bdcbbb5b60b1eb5:0xeaba26049eff374b!8m2!3d19.1149101!4d74.7302958!16s/g/11nlgg1g8y!19sChIJtR4LtrW73DsRSzf_ngQmuuo
Bright Future English Phonics And Grammar Academy,9511893783,"Spoken English, Tuition, English Academy, Kids Learning",4.9,22,http://otsguru.com,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Bright Future English Phonics and Grammar Academy/data=!4m7!3m6!1s0x3bdcbb3cbd2a8715:0xc1f38ad10ecc70df!8m2!3d19.1306195!4d74.7319779!16s/g/11v0bf1c03!19sChIJFYcqvTy73DsR33DMDtGK88E
Disha Computer Institute,9921174240,"Computer Classes, Tuition",4.9,250,http://dishagroup.in,"Pipeline Rd, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/DISHA COMPUTER INSTITUTE - BHISTBAG CHOWK PIPELINE ROAD SAVEDI AHILYANAGAR/data=!4m7!3m6!1s0x3bdcba626b6587c1:0x9373ff0942821df1!8m2!3d19.1290214!4d74.7325642!16s/g/11gdyvszrq!19sChIJwYdla2K63DsR8R2CQgn_c5M
Disha Computer Institute Ahmednagar Best Computer Institute For Tally Graphic Design Coding C Programming Near Old Stand,9371151769,"Computer Classes, Tuition",4.9,577,http://dishagroup.in,"Maliwada, Ahmednagar",Ahmednagar,,,"https://www.google.com/maps/place/DISHA COMPUTER INSTITUTE AHMEDNAGAR BEST COMPUTER INSTITUTE FOR TALLY, Graphic Design, Coding, C Programming Near Old Stand/data=!4m7!3m6!1s0x3bdcb1eabf3fca07:0xd26b843ff5d3a94f!8m2!3d19.0866579!4d74.7375521!16s/g/11h7kvvll9!19sChIJB8o_v-qx3DsRT6nT9T-Ea9I"
