business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Ameen Classes,IIT JEE coaching,5.0,28,7021610412,7021610412,"2nd Floor, Momin Mension, above Zahoor Hospital, opp. Society Petrol Pump, Bhawani Peth, Akola, Maharashtra 444006",Akola,,,https://www.google.com/maps/place/Ameen+Classes/data=!4m7!3m6!1s0x3bd731a431b6db0f:0xf0c5d29617aa569b!8m2!3d20.7164101!4d76.9975511!16s%2Fg%2F11rqx2j3sf!19sChIJD9u2MaQx1zsRm1aqF5bSxfA?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Rdg Music Academy,Music classes,4.9,47,9527579920,9527579920,"Murtizapur Rd, inside RDG college Campus, Shastri Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Rdg+Music+Academy+-+Collab+With+YOLO/data=!4m7!3m6!1s0x3bd72f2a8f554409:0x27d3a2b70e4f436f!8m2!3d20.7013718!4d77.0115909!16s%2Fg%2F11lng3pm_6!19sChIJCURVjyov1zsRb0NPDrei0yc?authuser=0&hl=en&rclk=1,,no,100,yes,2,none_found,
Gravity Classes Akola,IIT JEE coaching,4.8,242,9028290098,9028290098,"Ram Nagar, Chhoti Umari, Akola, Maharashtra 444005",Akola,,,https://www.google.com/maps/place/Gravity+Classes+Akola/data=!4m7!3m6!1s0x3bd4c1278d85b555:0x5d5577df85210af4!8m2!3d20.714975!4d77.01624!16s%2Fg%2F11f5bnqrmz!19sChIJVbWFjSfB1DsR9Aohhd93VV0?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Origin Institute,IIT JEE coaching,4.8,40,7776969462,7776969462,"Z.P. Colony, behind Siddheshwar Ganpati Mandir, Shastri Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Origin+Institute/data=!4m7!3m6!1s0x3bd72ff1dc4aea19:0x8e314706edd34214!8m2!3d20.7057022!4d77.0154187!16s%2Fg%2F11hdsfwb_5!19sChIJGepK3PEv1zsRFELT7QZHMY4?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Om Khotre Sir's Quanta Classes,IIT JEE coaching,4.7,58,8446622585,8446622585,"Milk Dairy Rd, Shastri Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Om+Khotre+Sir%27s+QUANTA+CLASSES/data=!4m7!3m6!1s0x3bd72e031293b4fb:0xaa1aaee0603121e7!8m2!3d20.7032559!4d77.0145865!16s%2Fg%2F11hbpytx7b!19sChIJ-7STEgMu1zsR5yExYOCuGqo?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Ali Sir's Bond Career Institute,NEET coaching,4.6,43,9827422145,9827422145,"Ranpise Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Ali+Sir%27s+BOND+CAREER+INSTITUTE/data=!4m7!3m6!1s0x3bd72ff45b5c0a3d:0xe5e6e71387434983!8m2!3d20.7094248!4d77.0171285!16s%2Fg%2F11gr31s0cb!19sChIJPQpcW_Qv1zsRg0lDhxPn5uU?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Vsm And Kgp Sir's Neev Academy Akola,IIT JEE coaching,4.6,174,7219542095,7219542095,"Vidya Mandir Boys High School, Civil Line Rd, opp. Nehru Park, Shastri Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/VSM+and+KGP+Sir%27s+Neev+Academy+Akola/data=!4m7!3m6!1s0x3bd73146e3a8aaeb:0xc719aeef190a8c74!8m2!3d20.701428!4d77.0096761!16s%2Fg%2F11qrfwkpn6!19sChIJ66qo40Yx1zsRdIwKGe-uGcc?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
