business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Kalpataru Science Academy,7721983007,"NEET, Science",5.0,21,http://kalpataruscienceacademy.in,"Infront Of Post Office, Akola",Akola,,,https://www.google.com/maps/place/Kalpataru Science Academy/data=!4m7!3m6!1s0x3bd72e03be07d1d5:0xf4f4aafb83e6127a!8m2!3d20.7042826!4d77.017544!16s/g/11c45vcs36!19sChIJ1dEHvgMu1zsRehLmg_uq9PQ
Kidzee Akola,9850616002,Kids Learning,5.0,749,http://kidzee.com,"Ranpise Nagar, Akola",Akola,,,https://www.google.com/maps/place/Kidzee Akola/data=!4m7!3m6!1s0x3bd72e1d94bf1421:0xae6f4d5f85f28843!8m2!3d20.7093831!4d77.0115869!16s/g/11by_ykwjs!19sChIJIRS_lB0u1zsRQ4jyhV9Nb64
Mahendra's Institute,6389302409,"SSC, Banking, Railway, Tuition",5.0,5,https://branch.mahendras.org,"Gorakshan Rd, Akola",Akola,,,https://www.google.com/maps/place/Mahendra's Institute - Akola for Banking SSC State Exam Railway Teaching and CUET/data=!4m7!3m6!1s0x3bd72d09f4bf85fd:0x80013d3ba1700d4!8m2!3d20.6829859!4d77.0245965!16s/g/11khz1z3l_!19sChIJ_YW_9Akt1zsR1AAXutMTAAg
Master Mind Abacus Academy,8446526106,"Tuition, Mathematics, Abacus",5.0,10,https://youtube.com,"Kirti Nagar, Akola",Akola,,,https://www.google.com/maps/place/Master Mind Abacus Academy/data=!4m7!3m6!1s0x3bd72f2fa6852399:0x942043c2b150ca59!8m2!3d20.6955565!4d77.0155655!16s/g/11kpwl4y22!19sChIJmSOFpi8v1zsRWcpQscJDIJQ
Phonics Ki Pathshala By Swati Rahate,,Kids Learning,5.0,6,https://phonicsbyrahateacademy.lovable.app,"Keshav Nagar, Akola",Akola,Akola,,https://www.google.com/maps/place/Phonics ki pathshala by Swati Rahate/data=!4m7!3m6!1s0x3bd72d0f84845ae3:0xc64ce010da1e8e0!8m2!3d20.6775335!4d77.0205412!16s/g/11ytl2l2mh!19sChIJ41qEhA8t1zsR4OihDQHOZAw
Pranay Bafna & Co Chartered Accountants,8888458882,CA,5.0,50,http://zrotax.com,"Kirti Nagar, Akola",Akola,Akot,,"https://www.google.com/maps/place/Pranay Bafna & Co, Chartered Accountants/data=!4m7!3m6!1s0x3bd72f39d70f9a53:0xbb088adaffaa4429!8m2!3d20.6985342!4d77.0146041!16s/g/11pwwtl_qm!19sChIJU5oP1zkv1zsRKUSq_9qKCLs"
Shri Ambe Enterprises & Computer Institute Mscit Center & Mkcl Klic Center. Akot,9518974425,"SSC, Computer Classes",5.0,69,https://shri-ambe-enterprises-and-computer-institute-akot.odoo.com,"Saraswati Nagar, Akot",Akola,Akot,,https://www.google.com/maps/place/Shri Ambe Enterprises & Computer Institute MSCIT Center & MKCL KLiC Center. Akot/data=!4m7!3m6!1s0x3bd71b51533ada61:0x58018558764840b6!8m2!3d21.0859923!4d77.0618153!16s/g/11ql16zk7k!19sChIJYdo6U1Eb1zsRtkBIdliFAVg
Achievers Academy Commerce Classes,8983419001,"Commerce Classes, Tuition",4.9,40,https://theachieversacademy.co.in,"Civil Line, Akola",Akola,,,https://www.google.com/maps/place/Achievers Academy Commerce Classes/data=!4m7!3m6!1s0x3bd72f08ab918b81:0x7c266080e77051e6!8m2!3d20.7058976!4d77.0115116!16s/g/11g046lvpz!19sChIJgYuRqwgv1zsR5lFw54BgJnw
Apex Foundation Akola,8668554497,"NDA, Tuition",4.9,109,http://apexfoundation.in,"Kirti Nagar, Akola",Akola,,,"https://www.google.com/maps/place/Apex Foundation, Akola/data=!4m7!3m6!1s0x3bd72ff07362b225:0x1d30fd05ca1ac788!8m2!3d20.6966432!4d77.0148255!16s/g/11l6f6jvgg!19sChIJJbJic_Av1zsRiMcaygX9MB0"
Bansal Classes,9371594360,"IIT JEE, NEET, CET, Tuition",4.9,233,https://bansalclassesakola.com,"Anand Heights, Gorakshan Rd",Akola,,,https://www.google.com/maps/place/Bansal Classes - IIT-JEE / NEET / MHT-CET Coaching/data=!4m7!3m6!1s0x3bd731006c9a51f1:0x394dc0b0f3423530!8m2!3d20.7004459!4d77.0077931!16s/g/11wm_rj03p!19sChIJ8VGabAAx1zsRMDVC87DATTk
Emax Computer Education Akola,9561388164,"Computer Classes, Tuition",4.9,87,https://62f4a49710d5f.site123.me,"Ranpise Nagar, Akola",Akola,,,https://www.google.com/maps/place/EMAX COMPUTER EDUCATION AKOLA/data=!4m7!3m6!1s0x3bd72f454c0fbf85:0x48f5ab560c0e2f79!8m2!3d20.7073691!4d77.0166311!16s/g/11pd339nwq!19sChIJhb8PTEUv1zsReS8ODFar9Ug
Inspire English Academy,8983337331,"Spoken English, Tuition, English Academy",4.9,319,http://inspireenglishacademy.com,"Shivaji Nagar, Akola",Akola,,,https://www.google.com/maps/place/Inspire English Academy - Best Spoken English Class/data=!4m7!3m6!1s0x3bd7315ab6f1bdc9:0x4b4a64bb8af7fdc9!8m2!3d20.7085967!4d76.9917309!16s/g/11j3t0w_mv!19sChIJyb3xtlox1zsRyf33irtkSks
