Business Name,Phone,PHONE_FOUND,Category,District,Taluka,Address,Rating,Reviews,Website,Facebook,Instagram,WhatsApp,Maps URL,Lead Type,lead_status,listing_opened,listing_failure_reason,Export Date
Rahnuma Coaching & Spoken English With Rahnuma Academy,9096666220,True,1st to 12th classes,Beed,,"Zum Zum Colony, Bir, Beed, Maharashtra 431122",4.9,133,http://rahnumaacademy.in,,,9096666220,https://www.google.com/maps/place/Rahnuma+Coaching+%26+spoken+English+with+Rahnuma+academy/data=!4m7!3m6!1s0x3bc52ae3cdb57b2d:0xdfb5a53ad43928b0!8m2!3d18.9804008!4d75.757498!16s%2Fg%2F11dymbf0mm!19sChIJLXu1zeMqxTsRsCg51Dqltd8?authuser=0&hl=en&rclk=1,,FULL_LEAD,YES,,2026-06-19 09:48:58
Joshis Math Classes,9422332137,True,1st to 12th classes,Beed,,"XQW2 73G Umakiran Educational Sankul, Adarsh nagar, Kranti Nagar, Beed, Maharashtra 431122",,,https://jmcbeed.com,,,9422332137,https://www.google.com/maps/place/Joshis+Math+Classes/data=!4m7!3m6!1s0x3bc52ac3f63e95b9:0xb40a3299e936d07b!8m2!3d18.9956774!4d75.7501136!16s%2Fg%2F1262hptkp!19sChIJuZU-9sMqxTsRe9A26ZkyCrQ?authuser=0&hl=en&rclk=1,,FULL_LEAD,YES,,2026-06-19 09:48:58
