Business Name,Phone,PHONE_FOUND,Category,District,Taluka,Address,Rating,Reviews,Website,Facebook,Instagram,WhatsApp,Maps URL,Lead Type,lead_status,listing_opened,listing_failure_reason,Export Date
Physics Wallah Vidyapeeth Pathshala Coaching Center Beed 8th 12th IIT JEE NEET And Dropper MHT CET,7428096975,True,1st to 12th classes,Beed,,"1st Floor, Physics Wallah Pathshala, Canal Rd, near SBI Bank, next to Surya Lawns, Ambika Chowk, Shivrana Nagar, Beed, Maharashtra 431122",4.6,28,https://pw.live/offline-centres/batches/vidyapeeth/beed-mh/beed-vidyapeeth--pathshala-centre--087793,,,7428096975,"https://www.google.com/maps/place/Physics+Wallah+Vidyapeeth+Pathshala+Coaching+Center+Beed+%7C+%288th-12th%2B%29+IIT-JEE,NEET+and+Dropper%7C+MHT-CET/data=!4m7!3m6!1s0x3bc52b0cb6590c13:0xc283b9d1a6163b3e!8m2!3d19.0018642!4d75.7487429!16s%2Fg%2F11yb171lfk!19sChIJEwxZtgwrxTsRPjsWptG5g8I?authuser=0&hl=en&rclk=1",SOCIAL_ONLY,FULL_LEAD,YES,,2026-06-19 10:06:31
Nath Computer Institute Beed,9881534999,True,1st to 12th classes,Beed,,"Navghan College Rd, Bhaya Nagar, Datta Nagar, Beed, Maharashtra 431122",4.9,15,,,,9881534999,https://www.google.com/maps/place/Nath+computer+institute+beed/data=!4m7!3m6!1s0x3bc52b6d61ed4cb1:0x314d59b09a44cff3!8m2!3d18.9853866!4d75.7472211!16s%2Fg%2F11p062nx42!19sChIJsUztYW0rxTsR889EmrBZTTE?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 10:06:31
Sk.s Class,9545094647,True,1st to 12th classes,Beed,,"Gaya nagar, Jalna - Beed Rd, Sanskar Colony, Beed, Maharashtra 431122",4.9,21,,,,9545094647,https://www.google.com/maps/place/Sk.S+Class/data=!4m7!3m6!1s0x3bc52ad3c04755bf:0x6ea3d1f7fcf82826!8m2!3d19.0069552!4d75.7532142!16s%2Fg%2F11bxc5wgkb!19sChIJv1VHwNMqxTsRJij4_PfRo24?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 10:06:31
Rai Education NEET JEE Foundation Classes In Beed,9852983333,True,1st to 12th classes,Beed,,"Infront of BSNL office, Shikshak Colony Rd, Shriram Nagar, Kranti Nagar, Beed, Maharashtra 431122",4.9,48,https://instagram.com/rai_educations_beed,,https://instagram.com/rai_educations_beed,9852983333,https://www.google.com/maps/place/Rai+Education-+NEET+JEE+FOUNDATION+Classes+in+Beed/data=!4m7!3m6!1s0x4665d7b5f829a43f:0x20835edfb277ae1f!8m2!3d18.9937194!4d75.7508093!16s%2Fg%2F11vz6hwy45!19sChIJP6Qp-LXXZUYRH653st9egyA?authuser=0&hl=en&rclk=1,INSTAGRAM_ONLY,FULL_LEAD,YES,,2026-06-19 10:06:31
