business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Quantum Academy,8055507508,"IIT JEE, NEET, CET, NDA, Tuition",4.9,30,https://quantumacademyamravati.com,"Shyam Nagar, Amravati",Amravati,,,"https://www.google.com/maps/place/Quantum Academy JEE Classes, Courses In Amravati NEET Classes MHT-CET Classes Foundation Courses In Amravati/data=!4m7!3m6!1s0x3bd6a5d99f5fe075:0x165a26f48202df5d!8m2!3d20.9265509!4d77.774515!16s/g/11ygf2f0n0!19sChIJdeBfn9ml1jsRXd8CgvQmWhY"
Velocity Career Guidance & Academy,8055511316,Tuition,4.9,51,https://classplusapp.com,"Gadge Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Velocity Career Guidance & Academy/data=!4m7!3m6!1s0x3bd6a3003a2c45bb:0xd12f74bb83ce6d40!8m2!3d20.9478326!4d77.7702361!16s/g/11w903vjhw!19sChIJu0UsOgCj1jsRQG3Og7t0L9E
We Trade Institute,9004009159,Tuition,4.9,199,https://wetradeinstitute.com,"Bapu Colony, Amravati",Amravati,,,https://www.google.com/maps/place/We Trade Institute - Stock Market Academy Share Market Classes/data=!4m7!3m6!1s0x3bd6bb4907b31389:0x337855e6f46c5dc6!8m2!3d20.9123001!4d77.7417576!16s/g/11tk31j4js!19sChIJiROzB0m71jsRxl1s9OZVeDM
Dnyan Foundation,8007472741,"CET, NDA, Tuition",4.8,44,http://dnyanfoundation.org,"Vivekanand Colony, Amravati",Amravati,,,https://www.google.com/maps/place/Dnyan Foundation - Best CBSE Coaching Classes In Amravati Best Foundation Classes Amravati MHT-CET Classes Amravati /data=!4m7!3m6!1s0x3bd6a4a3013560c1:0xa8fc977642a2a2ba!8m2!3d20.928199!4d77.7632281!16s/g/11f__l66z0!19sChIJwWA1AaOk1jsRuqKiQnaX_Kg
Knowledge Hub Coaching Classes,9096899166,Tuition,4.8,137,http://knowledgehubamt.org,"Paradise Colony, Amravati",Amravati,,,https://www.google.com/maps/place/Knowledge Hub Coaching Classes/data=!4m7!3m6!1s0x3bd6bcb499bc98c3:0x8d32d07ced4c5993!8m2!3d20.9522616!4d77.7416168!16s/g/11c2p8_kt8!19sChIJw5i8mbS81jsRk1lM7XzQMo0
Malpani Eduhub,7387329099,Tuition,4.8,124,http://vardhishnuacademy.com,"Ravi Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Malpani EduHub/data=!4m7!3m6!1s0x3bd6a5d328db3709:0xfd95b2bf9e161812!8m2!3d20.9169448!4d77.7485834!16s/g/11h23mh_yz!19sChIJCTfbKNOl1jsREhgWnr-ylf0
Rathi Career Forum Pvt Ltd,7057705715,"Commerce Classes, Tuition",4.8,341,http://rcfamt.com,"Amrawati Tahsil, Amravati",Amravati,,,https://www.google.com/maps/place/Rathi Career Forum Pvt Ltd/data=!4m7!3m6!1s0x3bd6a354000001c9:0xeeba8c3d4550d72c!8m2!3d20.9315486!4d77.7565036!16s/g/1pt_vc5z9!19sChIJyQEAAFSj1jsRLNdQRT2Muu4
Speakwell Spoken English Classes English And Personality Development Institute I Academy Government Approved Amravati,7796876355,"Spoken English, Tuition, English Academy",4.8,208,https://spokenenglishamravati.com,"Gadge Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Speakwell Spoken English Classes- English And Personality Development Institute I Academy Government Approved Amravati/data=!4m7!3m6!1s0x3bd4c1e5904b01cf:0x66cdda1aa7908884!8m2!3d20.9462816!4d77.764385!16s/g/11krh46kvc!19sChIJzwFLkOXB1DsRhIiQpxrazWY
Dcs Badnera Cad Cam Training Center Amravati,8668711567,Tuition,4.7,60,https://dcs-badnera-cad-cam-training-center.biz.site,"Badnera, Amravati",Amravati,,,https://www.google.com/maps/place/DCS Badnera CAD CAM Training Center Amravati/data=!4m7!3m6!1s0x3bd6bb58b9f4df3b:0x2b19e833394d5082!8m2!3d20.8666689!4d77.7361226!16s/g/11j37hw6nw!19sChIJO9_0uVi71jsRglBNOTPoGSs
Pranay Rathi Academy,9730030686,CET,4.7,252,http://pracademy.co.in,"Amba Peth, Amravati",Amravati,,,https://www.google.com/maps/place/Pranay Rathi Academy/data=!4m7!3m6!1s0x3bd6a4afbe25ad2d:0xd1427aba5cddd1c5!8m2!3d20.9262184!4d77.7545232!16s/g/11b7r4cb7s!19sChIJLa0lvq-k1jsRxdHdXLp6QtE
