business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Catalyser,8237658801,Tuition,5.0,58,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Catalyser/data=!4m7!3m6!1s0x3bdcbb9cab3b04bf:0xfa66c19ab90fa144!8m2!3d19.1234421!4d74.7301836!16s/g/11swzjdbff!19sChIJvwQ7q5y73DsRRKEPuZrBZvo
Core Institute Of Technology Marathi,8087550366,"Computer Classes, Tuition",5.0,30,,"Kedgaon, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Core Institute of Technology (Marathi: कोअर इन्स्टिटयूट ऑफ टेक्नॉलॉजी)/data=!4m7!3m6!1s0x3bdcb19dd2101605:0x7f61f3e1c56ebb76!8m2!3d19.0753063!4d74.7106417!16s/g/11vm8h8cxs!19sChIJBRYQ0p2x3DsRdrtuxeHzYX8
D Net System,9423216483,"Computer Classes, Tuition",5.0,5,,"Pipeline Rd, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/D Net System/data=!4m7!3m6!1s0x3bdcbb22b2de3165:0xcb22173c893e0b61!8m2!3d19.1270667!4d74.7427216!16s/g/11t40x1zdn!19sChIJZTHesiK73DsRYQs-iTwXIss
Dambelkar's Spoken English Classes,7272886565,"Spoken English, Tuition, English Academy",5.0,140,,"Sudke Mala, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Dambelkar's Spoken English Classes/data=!4m7!3m6!1s0x3bdcb1dcaf43fa15:0xa498a096ae0ba5bf!8m2!3d19.1072283!4d74.7301741!16s/g/11n05jsl50!19sChIJFfpDr9yx3DsRv6ULrpagmKQ
Darkundes Science Classes,9096302244,"Tuition, Science",5.0,48,,"Kedgaon, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Darkundes Science Classes/data=!4m7!3m6!1s0x3bdcb127f90d7467:0x2f86ed0580a534ad!8m2!3d19.0637828!4d74.6990946!16s/g/11g027rf5b!19sChIJZ3QN-Sex3DsRrTSlgAXthi8
Dikonda's A C Classes,,"CA, NDA, Tuition",5.0,22,,"Chitale Rd, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Dikonda's A/C Classes/data=!4m7!3m6!1s0x3bdcb061f802c329:0xb50dadca6502dfff!8m2!3d19.0959411!4d74.7344825!16s/g/1pp2tzcyj!19sChIJKcMC-GGw3DsR_98CZcqtDbU
Everest Career Acadamy Campus,,Railway,5.0,20,,"Hingangaon, Jakhangaon",Ahmednagar,,,https://www.google.com/maps/place/Everest Career Acadamy campus/data=!4m7!3m6!1s0x3bdcb919d9de8815:0x360fd3615711ccae!8m2!3d19.1082024!4d74.6410724!16s/g/11v3m_gq4x!19sChIJFYje2Rm53DsRrswRV2HTDzY
Gawali Computer Typing Institute Ahilyanagar,9028024079,"Computer Classes, Tuition",5.0,3,,"Maliwada, Ahmednagar",Ahmednagar,,,"https://www.google.com/maps/place/Gawali Computer Typing Institute, Ahilyanagar/data=!4m7!3m6!1s0x3bdcb14731b67b55:0xb16066be0c2c4d27!8m2!3d19.0893359!4d74.7356893!16s/g/11xccyn_v3!19sChIJVXu2MUex3DsRJ00sDL5mYLE"
I Can Training Institute Ahilyanagar,8668604127,NEET,5.0,21,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/I Can Training Institute Ahilyanagar/data=!4m7!3m6!1s0x3bdcbb1be50cdd4d:0xbcf880ea706d11bd!8m2!3d19.13999!4d74.7419145!16s/g/11ywj62zsp!19sChIJTd0M5Ru73DsRvRFtcOqA-Lw
Inspire Abacus Academy,,"Tuition, Mathematics, Abacus",5.0,1,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Inspire Abacus Academy/data=!4m7!3m6!1s0x3bdcbb2f430e5617:0x96b93a714293106!8m2!3d19.1388689!4d74.7290596!16s/g/11kq2kbfmw!19sChIJF1YOQy-73DsRBjEpFKeTawk
Institute Of Integrated Software,9763206009,"Computer Classes, Tuition",5.0,117,,"Sudke Mala, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Institute Of Integrated Software/data=!4m7!3m6!1s0x3bdcb087d5ed726d:0xeb6ccdcab82efaa4!8m2!3d19.1018429!4d74.7310831!16s/g/11g8vcdw7w!19sChIJbXLt1Yew3DsRpPouuMrNbOs
