Business Name,Phone,PHONE_FOUND,Category,District,Taluka,Address,Rating,Reviews,Website,Facebook,Instagram,WhatsApp,Maps URL,Lead Type,lead_status,listing_opened,listing_failure_reason,Export Date
Ahuja Classes,9850063399,True,1st to 12th classes,Ahmednagar,,"16/A, Saheti Society, Borude Mala, Balikashram Road, Savedi,, Ahmednagar-414003, Ahilyanagar, Maharashtra 414003",5.0,184,,,,9850063399,https://www.google.com/maps/place/AHUJA+CLASSES/data=!4m7!3m6!1s0x3bdcb1e5b91abbbd:0x59cf8524edade33!8m2!3d19.1119137!4d74.7275522!16s%2Fg%2F11f61fjy7j!19sChIJvbsaueWx3DsRM97aTlL4nAU?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 10:06:31
Anomalous Coaching Classes,8857087569,True,1st to 12th classes,Ahmednagar,,"3rd floor, Krushna complex, Pipeline Rd, near Shriram chowk, Savedi, Ahilyanagar, Maharashtra 414003",4.9,445,,,,8857087569,https://www.google.com/maps/place/ANOMALOUS+COACHING+CLASSES%28IIT-JEE%2FNEET%2FMHT-CET%2FNDA%29/data=!4m7!3m6!1s0x3bdcba89b8bb8e55:0x3d9d71bee93c65cc!8m2!3d19.1253226!4d74.7485084!16s%2Fg%2F11ddxs8c1j!19sChIJVY67uIm63DsRzGU86b5xnT0?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 10:06:31
Jha S Academy,7875100199,True,1st to 12th classes,Ahmednagar,,"Hari Mala, Ahilyanagar - Solapur Rd, opp. Hariom steel, Wakodi Phata, Darewadi, Maharashtra 414002",4.9,203,,,,7875100199,https://www.google.com/maps/place/Jha%E2%80%99s+Academy/data=!4m7!3m6!1s0x3bdcb1b9fc93d263:0x792669bb56376693!8m2!3d19.073753!4d74.7584725!16s%2Fg%2F11sr83sv40!19sChIJY9KT_Lmx3DsRk2Y3VrtpJnk?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 10:06:31
Karale Math & B K Physics Academy A.ngar,9923222488,True,1st to 12th classes,Ahmednagar,,"3, Sona Nagar, Prashantnagar, Savedi, Ahilyanagar, Maharashtra 414003",4.9,55,,,,9923222488,"https://www.google.com/maps/place/Karale+Math+%26+B+K+PHYSICS+ACADEMY,A.NGAR/data=!4m7!3m6!1s0x3bdcba7d31aaa3f7:0x811f3d81922bd59b!8m2!3d19.1241897!4d74.7316935!16s%2Fg%2F11cs5b2w09!19sChIJ96OqMX263DsRm9UrkoE9H4E?authuser=0&hl=en&rclk=1",NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 10:06:31
