business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Dr Madhuri Gulhane's Biology Uccb Amravati Best NEET Biology Amravati,NEET coaching,5.0,64,7709161757,7709161757,"Prashant Bapat, Dr. Madhuri Gulhane Biology, C/o, Sharda Nagar, UCCB, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Dr+Madhuri+Gulhane%27s+Biology+UCCB+Amravati+Best+NEET+Biology+Amravati/data=!4m7!3m6!1s0x3bd6a3a9b73b540f:0x99736d5c805adee5!8m2!3d20.9183927!4d77.7489633!16s%2Fg%2F11hy_82_0_!19sChIJD1Q7t6mj1jsR5d5agFxtc5k?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Mentor Spoken English Class,Spoken English,5.0,405,9372345462,9372345462,"MENTOR, Beside Gurukul Classes, Shivaji Commercial Centre, Ravi Nagar, Amravati, Maharashtra 444605",Amravati,Achalpur,,"https://www.google.com/maps/place/MENTOR+SPOKEN+ENGLISH+CLASS/@20.9157223,77.7496181,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd6a4b72aba751d:0x3b5fea7e50c7e177!8m2!3d20.9157223!4d77.7496181!16s%2Fg%2F11cs9mcg10?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D",,no,100,yes,2,none_found,
Nucleon Coaching Center,1st to 12th classes,5.0,31,8275288882,8275288882,"Rathi Nagar, Gadge Nagar, Amravati, Maharashtra 444603",Amravati,,,https://www.google.com/maps/place/Nucleon+Coaching+Center/data=!4m7!3m6!1s0x3bd6a3e1d61ca88b:0x210ac3bfe14db829!8m2!3d20.9505985!4d77.7660941!16s%2Fg%2F11xtglwq14!19sChIJi6gc1uGj1jsRKbhN4b_DCiE?authuser=0&hl=en&rclk=1,,no,100,yes,2,none_found,
One On One Share Market Training And Guidance Centre,1st to 12th classes,4.9,661,8983710731,8983710731,"2ND FLOOR, office, RAJKAMAL SQUARE ,ABOVE HALDIRAM STORE IN DREAMZ LANDMARK BUILDING SHARE MARKET TRAINING ONE ON ONE, Amravati, Maharashtra 444601",Amravati,,,https://www.google.com/maps/place/One+On+One+Share+Market+Training+and+Guidance+Centre/data=!4m7!3m6!1s0x3bd6a58a0129c7f9:0x554aaceaf7ffc4a2!8m2!3d20.9265674!4d77.7532162!16s%2Fg%2F11f5_l1z4r!19sChIJ-ccpAYql1jsRosT_9-qsSlU?authuser=0&hl=en&rclk=1,,no,100,yes,2,none_found,
Iin Ideal Institute Of NEET,IIT JEE coaching,4.6,20,7620599664,7620599664,"3rd Floor, Gulshan Towers, Amrawati Tahsil, Jyastambh chowk, Amravati, Maharashtra 444601",Amravati,,,https://www.google.com/maps/place/IIN+Ideal+Institute+of+NEET/data=!4m7!3m6!1s0x3bd6a53dbf372ea5:0xd8f927f0b99f0202!8m2!3d20.930639!4d77.7548938!16s%2Fg%2F11sx4lyj58!19sChIJpS43vz2l1jsRAgKfufAn-dg?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Shri Sadguru Coaching Cbse Home Dna,IIT JEE coaching,4.6,98,9822223182,9822223182,"Prabodhankar Thakare Marg, nr. Shankar Nagar, Ganesh Nagar, Gopal Nagar, Amravati, Maharashtra 444607",Amravati,,,"https://www.google.com/maps/place/Shri+Sadguru+Coaching,+CBSE+HOME,+DNA/data=!4m7!3m6!1s0x3bd6a4c6098844b7:0xb018d3c069f27b40!8m2!3d20.907129!4d77.7576789!16s%2Fg%2F11c5rp6rnc!19sChIJt0SICcak1jsRQHvyacDTGLA?authuser=0&hl=en&rclk=1",,no,100,yes,1,none_found,
